function name,avg time,min time,max time,std dev,median_time,trial 1,trial 2,trial 3,trial 4,trial 5
serial_copy_1000,0.7415938000000001,0.723913,0.763128,0.016308798567031237,0.737195,0.753444,0.763128,0.723913,0.737195,0.730289
vector_copy_1000,0.013668599999999998,0.01304,0.014268,0.0004968227047951815,0.013845,0.013845,0.013904,0.014268,0.01304,0.013286
serial_copy_1500,1.6783902000000002,1.637477,1.748502,0.042796812506307055,1.666049,1.666049,1.637477,1.684833,1.65509,1.748502
vector_copy_1500,0.031791599999999996,0.029628,0.033666,0.0019148577753974319,0.032413,0.033362,0.033666,0.032413,0.029889,0.029628
serial_copy_2000,2.998354,2.939238,3.134055,0.07816345714590674,2.967819,2.958959,2.939238,2.991699,2.967819,3.134055
vector_copy_2000,0.0664572,0.060093,0.075071,0.005749762012466255,0.065041,0.075071,0.060093,0.063285,0.065041,0.068796
look_and_say_sequence_30,0.020528399999999995,0.019937,0.021258,0.0005524398609803603,0.020545,0.021258,0.020855,0.020545,0.020047,0.019937
look_and_say_sequence_35,0.12941,0.126009,0.133384,0.002837535814751946,0.128352,0.126009,0.133384,0.130996,0.128309,0.128352
look_and_say_sequence_42,5.244547600000001,3.926933,7.356611,1.3633581563146933,5.268529,7.356611,5.268529,3.926933,5.507111,4.163554
count_words_dictionary_bible.txt,0.6767656,0.659622,0.709616,0.019257869931537087,0.671648,0.671648,0.709616,0.659622,0.667719,0.675223
count_words_set_bible.txt,0.8146053999999999,0.6474,1.150179,0.21551650261940503,0.685345,0.677261,0.685345,0.6474,0.912842,1.150179
count_words_dictionary_book1.txt,0.2062536,0.133131,0.323305,0.0790683136268885,0.192679,0.242624,0.192679,0.133131,0.139529,0.323305
count_words_set_book1.txt,0.24486460000000002,0.138198,0.385281,0.11096855492570855,0.186178,0.186178,0.138198,0.172461,0.385281,0.342205
count_words_dictionary_plrabn12.txt,0.1182832,0.077157,0.192624,0.04927131014799586,0.092767,0.144534,0.192624,0.084334,0.092767,0.077157
count_words_set_plrabn12.txt,0.08195519999999999,0.07958,0.085199,0.002216997677039828,0.082316,0.082316,0.082483,0.085199,0.07958,0.080198
count_words_dictionary_world192.txt,0.32577540000000005,0.320054,0.337454,0.006877935940382099,0.322716,0.337454,0.326135,0.322518,0.320054,0.322716
